StatTrak™ P250 | See Ya Later (Minimal Wear)^1311.05
Desert Eagle | Crimson Web (Factory New)^8283.66
MP9 | Setting Sun (Factory New)^763.84
AK-47 | Leet Museo (Minimal Wear)^3352.62
P250 | Digital Architect (Factory New)^3646.14
AWP | Man-o'-war (Field-Tested)^2825.06
Patch | The Boss^1774.91
AWP | Neo-Noir (Factory New)^2716.26
StatTrak™ MP9 | Rose Iron (Minimal Wear)^981.97
StatTrak™ M4A1-S | Basilisk (Well-Worn)^1637.86
London 2018 Legends (Holo-Foil)^1268.74
AK-47 | Nightwish (Factory New)^4823.30
MAC-10 | Disco Tech (Factory New)^1046.78
AUG | Midnight Lily (Battle-Scarred)^7649.15
AK-47 | Red Laminate (Minimal Wear)^5988.79
M4A4 | Global Offensive (Factory New)^2192.37
StatTrak™ M4A1-S | Hyper Beast (Minimal Wear)^9817.64
StatTrak™ AK-47 | Neon Rider (Field-Tested)^6370.00
StatTrak™ M4A1-S | Hyper Beast (Well-Worn)^3461.93
★ Moto Gloves | Transport (Minimal Wear)^9824.62
StatTrak™ AWP | Chromatic Aberration (Minimal Wear)^2063.12
StatTrak™ Desert Eagle | Light Rail (Factory New)^1216.51
R8 Revolver | Fade (Factory New)^1198.40
★ StatTrak™ Classic Knife | Forest DDPAT (Field-Tested)^9822.58
StatTrak™ MAC-10 | Tatter (Minimal Wear)^1030.32
StatTrak™ M4A1-S | Mecha Industries (Minimal Wear)^7404.50
AK-47 | Aquamarine Revenge (Minimal Wear)^6257.70
StatTrak™ USP-S | Printstream (Field-Tested)^4992.12
USP-S | Purple DDPAT (Factory New)^1647.83
StatTrak™ AK-47 | Frontside Misty (Field-Tested)^2463.30
StatTrak™ AWP | Chromatic Aberration (Well-Worn)^1554.87
MP9 | Mount Fuji (Factory New)^847.72
M4A4 | Buzz Kill (Factory New)^2562.47
AK-47 | Green Laminate (Minimal Wear)^1374.55
AK-47 | Predator (Minimal Wear)^1614.69
StatTrak™ AUG | Syd Mead (Factory New)^1493.02
Galil AR | Orange DDPAT (Well-Worn)^712.95
M4A4 | X-Ray (Minimal Wear)^1087.58
Glock-18 | Neo-Noir (Well-Worn)^975.86
StatTrak™ UMP-45 | Wild Child (Factory New)^1827.35
Glock-18 | Dragon Tattoo (Factory New)^8011.76
StatTrak™ M4A1-S | Chantico's Fire (Well-Worn)^3401.61
StatTrak™ AWP | Chromatic Aberration (Factory New)^3430.30
USP-S | Whiteout (Minimal Wear)^4512.49
SSG 08 | Dragonfire (Factory New)^1730.34
USP-S | Overgrowth (Minimal Wear)^2181.94
StatTrak™ AWP | Electric Hive (Factory New)^6905.26
AWP | Redline (Field-Tested)^4293.29
Glock-18 | Neo-Noir (Factory New)^4186.48
AK-47 | Orbit Mk01 (Well-Worn)^1209.30
StatTrak™ Glock-18 | Snack Attack (Battle-Scarred)^711.90
AK-47 | Black Laminate (Well-Worn)^2210.70
Five-SeveN | Monkey Business (Minimal Wear)^822.24
CS:GO Weapon Case^7208.30
StatTrak™ AK-47 | Wasteland Rebel (Field-Tested)^7171.48
AK-47 | Point Disarray (Field-Tested)^726.50
P250 | Red Rock (Factory New)^763.19
UMP-45 | Blaze (Factory New)^1397.27
★ StatTrak™ Gut Knife | Ultraviolet (Minimal Wear)^9976.58
Valeria Phoenix Pin^3561.90
FAMAS | Afterimage (Minimal Wear)^2241.77
Chem-Haz Capitaine | Gendarmerie Nationale^1347.55
Desert Eagle | Printstream (Factory New)^7641.61
AK-47 | Asiimov (Minimal Wear)^5363.44
P250 | Bengal Tiger (Factory New)^1955.48
StatTrak™ UMP-45 | Momentum (Factory New)^1370.09
AWP | Wildfire (Minimal Wear)^7434.60
StatTrak™ M4A4 | In Living Color (Field-Tested)^1050.10
AWP | Sun in Leo (Field-Tested)^1767.32
MAC-10 | Nuclear Garden (Factory New)^774.72
★ Bowie Knife | Rust Coat (Battle-Scarred)^8863.80
StatTrak™ P250 | Cartel (Minimal Wear)^1760.29
StatTrak™ M4A1-S | Blood Tiger (Minimal Wear)^1000.65
Patch | Natus Vincere (Gold) | Stockholm 2021^789.51
XM1014 | Tranquility (Minimal Wear)^786.65
AK-47 | Redline (Battle-Scarred)^1427.94
M4A1-S | Mecha Industries (Battle-Scarred)^1479.08
UMP-45 | Caramel (Minimal Wear)^1022.67
Boston 2018 Attending Legends (Holo-Foil)^1787.73
★ Falchion Knife | Stained (Battle-Scarred)^9262.98
StatTrak™ Five-SeveN | Hyper Beast (Field-Tested)^7205.42
P90 | Fallout Warning (Factory New)^2106.66
★ Shadow Daggers | Lore (Battle-Scarred)^8801.51
StatTrak™ AK-47 | Rat Rod (Field-Tested)^867.00
StatTrak™ MAC-10 | Neon Rider (Factory New)^3068.53
StatTrak™ M4A4 | Buzz Kill (Factory New)^6014.46
SG 553 | Integrale (Field-Tested)^772.69
StatTrak™ Glock-18 | Neo-Noir (Field-Tested)^2749.04
StatTrak™ M4A4 | Hellfire (Well-Worn)^5749.74
Dual Berettas | Marina (Factory New)^1192.89
M4A1-S | Nightmare (Factory New)^3812.48
StatTrak™ Tec-9 | Isaac (Factory New)^1860.67
AK-47 | Bloodsport (Minimal Wear)^9910.05
USP-S | Road Rash (Minimal Wear)^3466.61
StatTrak™ M4A4 | The Battlestar (Field-Tested)^1156.67
eSports Key^702.04
StatTrak™ M4A4 | 龍王 (Dragon King) (Factory New)^5211.91
StatTrak™ AK-47 | Legion of Anubis (Battle-Scarred)^1253.71
M4A4 | Dark Blossom (Factory New)^2164.43
StatTrak™ AK-47 | Ice Coaled (Minimal Wear)^1727.23
StatTrak™ SG 553 | Cyrex (Factory New)^4052.89
SG 553 | Integrale (Minimal Wear)^1986.61
Glock-18 | Night (Factory New)^3380.32
StatTrak™ P250 | Visions (Minimal Wear)^739.10
M4A1-S | Golden Coil (Minimal Wear)^7865.28
XM1014 | Jungle (Factory New)^931.35
AWP | Sun in Leo (Battle-Scarred)^1768.00
Desert Eagle | Midnight Storm (Factory New)^2394.49
AK-47 | Green Laminate (Factory New)^1770.53
StatTrak™ XM1014 | Tranquility (Well-Worn)^1595.72
StatTrak™ Desert Eagle | Crimson Web (Minimal Wear)^5096.03
AK-47 | Bloodsport (Field-Tested)^9396.46
USP-S | Neo-Noir (Factory New)^2831.89
StatTrak™ USP-S | Blueprint (Minimal Wear)^2210.00
MP9 | Hypnotic (Factory New)^901.93
StatTrak™ PP-Bizon | Judgement of Anubis (Minimal Wear)^1675.13
★ Bowie Knife | Ultraviolet (Field-Tested)^9808.80
★ StatTrak™ Shadow Daggers | Autotronic (Field-Tested)^9020.56
StatTrak™ P250 | Muertos (Battle-Scarred)^947.67
StatTrak™ Desert Eagle | Heirloom (Factory New)^4464.28
StatTrak™ M4A4 | Buzz Kill (Field-Tested)^1692.92
StatTrak™ Desert Eagle | Ocean Drive (Battle-Scarred)^3636.81
AWP | Containment Breach (Well-Worn)^4639.75
USP-S | The Traitor (Factory New)^4198.57
AK-47 | Neon Rider (Battle-Scarred)^1919.42
★ StatTrak™ Navaja Knife^9132.29
FAMAS | Waters of Nephthys (Well-Worn)^2323.25
M4A4 | Hellfire (Battle-Scarred)^3566.26
StatTrak™ M4A1-S | Nightmare (Factory New)^7629.06
★ Bloodhound Gloves | Snakebite (Field-Tested)^7345.58
StatTrak™ AK-47 | Legion of Anubis (Factory New)^3616.74
StatTrak™ Desert Eagle | Mecha Industries (Battle-Scarred)^916.86
Desert Eagle | Ocean Drive (Battle-Scarred)^1137.30
M4A4 | Modern Hunter (Battle-Scarred)^2804.57
StatTrak™ SG 553 | Cyrex (Field-Tested)^712.94
USP-S | The Traitor (Field-Tested)^837.25
★ Gut Knife | Damascus Steel (Battle-Scarred)^8913.58
M4A1-S | Cyrex (Factory New)^3670.47
StatTrak™ M4A1-S | Player Two (Minimal Wear)^7603.09
StatTrak™ AK-47 | Cartel (Factory New)^6364.38
★ Falchion Knife | Ultraviolet (Well-Worn)^9157.15
StatTrak™ SG 553 | Cyrex (Minimal Wear)^1328.35
StatTrak™ Five-SeveN | Case Hardened (Minimal Wear)^2759.14
FAMAS | Waters of Nephthys (Battle-Scarred)^2544.74
StatTrak™ AK-47 | Wasteland Rebel (Battle-Scarred)^6920.69
StatTrak™ Nova | Antique (Minimal Wear)^1366.50
USP-S | Purple DDPAT (Minimal Wear)^1470.68
StatTrak™ M4A1-S | Guardian (Factory New)^6196.86
★ Shadow Daggers | Lore (Well-Worn)^8947.37
FAMAS | Roll Cage (Factory New)^1093.73
StatTrak™ Five-SeveN | Case Hardened (Battle-Scarred)^1457.38
StatTrak™ M4A4 | Neo-Noir (Field-Tested)^1125.87
FAMAS | Dark Water (Minimal Wear)^1336.30
★ Moto Gloves | Blood Pressure (Battle-Scarred)^8515.14
M4A1-S | Decimator (Minimal Wear)^1482.23
Desert Eagle | Urban DDPAT (Factory New)^1196.24
Desert Eagle | Crimson Web (Minimal Wear)^2178.05
Desert Eagle | Printstream (Minimal Wear)^4097.38
AK-47 | Neon Revolution (Field-Tested)^1453.75
AK-47 | The Empress (Battle-Scarred)^2120.60
P90 | Leather (Minimal Wear)^786.56
StatTrak™ Glock-18 | Vogue (Minimal Wear)^795.79
P90 | Blind Spot (Minimal Wear)^788.38
StatTrak™ Glock-18 | Snack Attack (Well-Worn)^712.20
AK-47 | Ice Coaled (Factory New)^1437.43
StatTrak™ AK-47 | Blue Laminate (Minimal Wear)^2337.38
★ Shadow Daggers | Bright Water (Field-Tested)^8810.34
M4A1-S | Chantico's Fire (Minimal Wear)^5076.28
StatTrak™ AK-47 | Ice Coaled (Battle-Scarred)^942.44
AK-47 | Cartel (Field-Tested)^927.34
Berlin 2019 Vertigo Souvenir Package^709.04
StatTrak™ AWP | Man-o'-war (Field-Tested)^6532.25
Desert Eagle | Ocean Drive (Minimal Wear)^3493.06
AK-47 | The Empress (Minimal Wear)^5588.58
StatTrak™ M4A4 | In Living Color (Factory New)^6335.66
Glock-18 | Ramese's Reach (Factory New)^1010.80
Tec-9 | Decimator (Factory New)^3548.22
USP-S | Road Rash (Battle-Scarred)^1779.02
M4A4 | Spider Lily (Factory New)^1179.86
AK-47 | Neon Revolution (Well-Worn)^1767.58
StatTrak™ USP-S | Guardian (Factory New)^1016.01
StatTrak™ USP-S | Cortex (Minimal Wear)^826.63
★ Shadow Daggers | Damascus Steel (Minimal Wear)^8487.18
AK-47 | Cartel (Well-Worn)^1368.13
StatTrak™ SSG 08 | Dragonfire (Minimal Wear)^4026.29
StatTrak™ Desert Eagle | Kumicho Dragon (Field-Tested)^3042.96
★ Falchion Knife | Night (Field-Tested)^8957.60
AK-47 | Black Laminate (Minimal Wear)^2635.00
P90 | Emerald Dragon (Well-Worn)^6781.82
UMP-45 | Caramel (Factory New)^2779.53
StatTrak™ AK-47 | Nightwish (Minimal Wear)^3390.52
StatTrak™ M4A1-S | Nightmare (Battle-Scarred)^1973.30
StatTrak™ M4A1-S | Decimator (Minimal Wear)^3513.67
P250 | Cartel (Factory New)^1109.81
SSG 08 | Sand Dune (Minimal Wear)^704.92
Tec-9 | Terrace (Field-Tested)^8500.00
StatTrak™ AK-47 | Nightwish (Field-Tested)^1692.04
StatTrak™ Five-SeveN | Boost Protocol (Factory New)^736.91
★ Shadow Daggers | Forest DDPAT (Field-Tested)^8022.19
P90 | Nostalgia (Factory New)^783.98
StatTrak™ M4A1-S | Leaded Glass (Field-Tested)^961.05
StatTrak™ Desert Eagle | Conspiracy (Field-Tested)^1130.03
StatTrak™ CZ75-Auto | Tread Plate (Field-Tested)^927.47
StatTrak™ Dual Berettas | Melondrama (Factory New)^1169.01
★ Driver Gloves | Rezan the Red (Field-Tested)^8732.16
Patch | BIG (Gold) | Stockholm 2021^1286.19
Galil AR | Orange DDPAT (Battle-Scarred)^952.23
PP-Bizon | Rust Coat (Well-Worn)^928.92
M4A4 | Royal Paladin (Factory New)^6687.57
StatTrak™ AWP | Atheris (Minimal Wear)^1255.36
Nova | Blaze Orange (Field-Tested)^1011.64
London 2018 Minor Challengers (Holo-Foil)^1000.93
★ Broken Fang Gloves | Needle Point (Field-Tested)^6789.54
AK-47 | Asiimov (Well-Worn)^2636.50
AWP | Elite Build (Battle-Scarred)^1222.06
AK-47 | Neon Rider (Minimal Wear)^7388.14
Dual Berettas | Emerald (Factory New)^2536.33
StatTrak™ M4A4 | Desolate Space (Factory New)^5724.86
SCAR-20 | Emerald (Factory New)^2198.66
AK-47 | Aquamarine Revenge (Field-Tested)^3308.86
AWP | Containment Breach (Field-Tested)^7647.06
StatTrak™ G3SG1 | The Executioner (Minimal Wear)^3636.49
AK-47 | Blue Laminate (Field-Tested)^950.29
Five-SeveN | Case Hardened (Well-Worn)^814.23
StatTrak™ AK-47 | Asiimov (Field-Tested)^4787.04
Glock-18 | Brass (Minimal Wear)^2832.34
AK-47 | The Empress (Well-Worn)^2280.16
Patch | Copenhagen Flames (Gold) | Stockholm 2021^700.35
P250 | Apep's Curse (Field-Tested)^2728.91
MAG-7 | Counter Terrace (Battle-Scarred)^2997.93
★ Gut Knife | Damascus Steel (Well-Worn)^8565.72
StatTrak™ Sawed-Off | Orange DDPAT (Minimal Wear)^1245.30
StatTrak™ M4A1-S | Cyrex (Minimal Wear)^6961.59
StatTrak™ P90 | Trigon (Field-Tested)^1067.31
AK-47 | Aquamarine Revenge (Factory New)^8219.59
USP-S | Orion (Minimal Wear)^4614.86
M4A4 | Cyber Security (Factory New)^3212.57
StatTrak™ UMP-45 | Primal Saber (Factory New)^1715.89
CS:GO Weapon Case 2^1011.50
AWP | Man-o'-war (Minimal Wear)^2880.57
StatTrak™ AK-47 | Redline (Well-Worn)^3615.37
Chem-Haz Specialist | SWAT^722.61
AK-47 | Cartel (Battle-Scarred)^950.24
StatTrak™ M4A1-S | Mecha Industries (Field-Tested)^4654.69
StatTrak™ AK-47 | Frontside Misty (Minimal Wear)^5205.40
M4A4 | Royal Paladin (Minimal Wear)^1346.67
M4A1-S | Chantico's Fire (Field-Tested)^2447.40
USP-S | Orange Anolis (Factory New)^6323.03
Desert Eagle | Crimson Web (Field-Tested)^1034.88
M4A1-S | Hyper Beast (Field-Tested)^1768.95
M4A1-S | Hyper Beast (Battle-Scarred)^1041.24
AWP | Atheris (Factory New)^1040.33
StatTrak™ M4A1-S | Decimator (Field-Tested)^1812.34
AK-47 | Fuel Injector (Well-Worn)^9840.13
★ Huntsman Knife | Rust Coat (Battle-Scarred)^9226.53
StatTrak™ M4A4 | Zirka (Minimal Wear)^3979.08
Five-SeveN | Nitro (Minimal Wear)^2338.54
StatTrak™ M4A4 | Cyber Security (Factory New)^7181.84
StatTrak™ USP-S | Orion (Field-Tested)^7182.81
Boston 2018 Mirage Souvenir Package^806.25
StatTrak™ M4A4 | Spider Lily (Factory New)^3731.79
MLG Columbus 2016 Legends (Holo-Foil)^1784.58
★ StatTrak™ Shadow Daggers | Scorched (Battle-Scarred)^7267.07
★ Survival Knife | Forest DDPAT (Battle-Scarred)^8262.21
StatTrak™ Glock-18 | Steel Disruption (Factory New)^909.70
FAMAS | Afterimage (Field-Tested)^1770.55
StatTrak™ SSG 08 | Bloodshot (Battle-Scarred)^1761.35
UMP-45 | Wild Child (Factory New)^842.89
StatTrak™ Desert Eagle | Heirloom (Minimal Wear)^1603.38
StatTrak™ Desert Eagle | Ocean Drive (Field-Tested)^4045.93
StatTrak™ USP-S | Monster Mashup (Field-Tested)^2425.95
StatTrak™ P90 | Trigon (Minimal Wear)^1338.74
AWP | Elite Build (Well-Worn)^1204.05
MP7 | Whiteout (Battle-Scarred)^891.37
USP-S | Orion (Field-Tested)^4611.86
StatTrak™ M4A1-S | Decimator (Battle-Scarred)^1786.42
AWP | Pink DDPAT (Minimal Wear)^3290.88
StatTrak™ AK-47 | Head Shot (Minimal Wear)^3949.21
StatTrak™ M4A1-S | Basilisk (Factory New)^3053.96
USP-S | Pathfinder (Field-Tested)^2142.42
★ Paracord Knife | Forest DDPAT (Field-Tested)^8168.37
StatTrak™ Tec-9 | Decimator (Minimal Wear)^4955.43
AK-47 | Frontside Misty (Well-Worn)^953.63
StatTrak™ P90 | Shapewood (Factory New)^2055.24
AK-47 | Black Laminate (Field-Tested)^2221.79
M4A4 | The Coalition (Field-Tested)^2258.24
SG 553 | Ultraviolet (Factory New)^3205.40
M4A1-S | Decimator (Battle-Scarred)^932.27
StatTrak™ AWP | Fever Dream (Factory New)^2554.08
StatTrak™ P2000 | Imperial Dragon (Minimal Wear)^752.59
StatTrak™ XM1014 | Black Tie (Factory New)^730.03
★ StatTrak™ Falchion Knife | Boreal Forest (Minimal Wear)^8423.97
StatTrak™ M4A1-S | Nightmare (Field-Tested)^1906.39
P250 | Nuclear Threat (Field-Tested)^1818.77
StatTrak™ AK-47 | Phantom Disruptor (Minimal Wear)^1267.46
StatTrak™ USP-S | Orion (Factory New)^9699.72
Boston 2018 Returning Challengers Autograph Capsule^841.50
P90 | Asiimov (Minimal Wear)^1288.58
StatTrak™ Five-SeveN | Case Hardened (Field-Tested)^1675.13
StatTrak™ AK-47 | Orbit Mk01 (Minimal Wear)^3853.50
StatTrak™ P2000 | Woodsman (Well-Worn)^742.26
AK-47 | Green Laminate (Field-Tested)^1356.86
StatTrak™ MP9 | Food Chain (Minimal Wear)^742.47
StatTrak™ USP-S | The Traitor (Well-Worn)^2276.01
UMP-45 | Day Lily (Well-Worn)^2102.10
Glock-18 | Gamma Doppler (Factory New)^5505.31
★ StatTrak™ Shadow Daggers | Black Laminate (Minimal Wear)^8443.67
StatTrak™ M4A1-S | Leaded Glass (Minimal Wear)^1231.02
StatTrak™ M4A4 | 龍王 (Dragon King) (Minimal Wear)^2686.40
StatTrak™ AK-47 | Ice Coaled (Factory New)^3384.12
StatTrak™ AK-47 | Red Laminate (Field-Tested)^9152.36
Glock-18 | Brass (Well-Worn)^1390.57
StatTrak™ AK-47 | Nightwish (Well-Worn)^1279.88
AK-47 | Head Shot (Field-Tested)^784.50
★ Gut Knife | Night (Field-Tested)^8105.23
StatTrak™ Glock-18 | Wasteland Rebel (Minimal Wear)^1402.23
StatTrak™ M4A1-S | Player Two (Field-Tested)^3594.94
CZ75-Auto | Emerald (Factory New)^2684.90
MAC-10 | Neon Rider (Factory New)^954.13
StatTrak™ AK-47 | Phantom Disruptor (Well-Worn)^1045.46
StatTrak™ P250 | Undertow (Minimal Wear)^3199.68
StatTrak™ MP9 | Airlock (Factory New)^2348.78
StatTrak™ SCAR-20 | Cardiac (Field-Tested)^705.65
USP-S | Kill Confirmed (Well-Worn)^3046.20
Galil AR | Amber Fade (Factory New)^1851.92
P250 | Whiteout (Field-Tested)^2714.40
StatTrak™ P250 | See Ya Later (Factory New)^2898.64
StatTrak™ USP-S | Overgrowth (Battle-Scarred)^3153.36
M4A1-S | Briefing (Factory New)^806.25
★ StatTrak™ Survival Knife | Forest DDPAT (Field-Tested)^8042.16
★ Falchion Knife | Boreal Forest (Well-Worn)^8346.52
Desert Eagle | Night (Field-Tested)^1148.99
M4A4 | Red DDPAT (Well-Worn)^1724.11
AWP | Hyper Beast (Well-Worn)^1811.55
M4A4 | Asiimov (Well-Worn)^7770.17
StatTrak™ Desert Eagle | Kumicho Dragon (Battle-Scarred)^2976.37
Boston 2018 Returning Challengers (Holo-Foil)^2882.32
StatTrak™ Music Kit | Dren, Gunman Taco Truck^1793.89
StatTrak™ Music Kit | TWERL and Ekko & Sidetrack, Under Bright Lights^1103.31
StatTrak™ P250 | Red Rock (Factory New)^1844.50
StatTrak™ Five-SeveN | Angry Mob (Well-Worn)^745.60
StatTrak™ PP-Bizon | Embargo (Factory New)^1120.62
★ Navaja Knife | Blue Steel (Minimal Wear)^8608.62
M4A4 | Desolate Space (Factory New)^1717.29
StatTrak™ Desert Eagle | Heirloom (Battle-Scarred)^898.94
Desert Eagle | Night (Battle-Scarred)^1131.13
MLG Columbus 2016 Challengers (Holo-Foil)^2576.89
Five-SeveN | Fairy Tale (Well-Worn)^1579.15
★ StatTrak™ Ursus Knife | Safari Mesh (Field-Tested)^8697.75
Nova | Baroque Orange (Field-Tested)^6660.39
StatTrak™ USP-S | Blueprint (Well-Worn)^816.50
Galil AR | Orange DDPAT (Factory New)^3593.72
XM1014 | Elegant Vines (Field-Tested)^4607.51
SG 553 | Bulldozer (Field-Tested)^6991.03
FAMAS | Waters of Nephthys (Minimal Wear)^4774.01
StatTrak™ Five-SeveN | Fowl Play (Factory New)^1637.20
Sawed-Off | Orange DDPAT (Minimal Wear)^807.45
P250 | Splash (Minimal Wear)^1798.59
StatTrak™ P250 | Cartel (Factory New)^4609.42
P2000 | Silver (Factory New)^2469.32
StatTrak™ AK-47 | Wasteland Rebel (Well-Worn)^7525.80
Col. Mangos Dabisi | Guerrilla Warfare^1911.03
StatTrak™ Dual Berettas | Marina (Field-Tested)^701.69
XM1014 | Ancient Lore (Field-Tested)^3350.34
Galil AR | Urban Rubble (Field-Tested)^975.73
StatTrak™ XM1014 | Heaven Guard (Minimal Wear)^1000.26
StatTrak™ SSG 08 | Dragonfire (Battle-Scarred)^3115.91
MAC-10 | Copper Borre (Factory New)^7591.55
StatTrak™ XM1014 | Tranquility (Field-Tested)^1441.47
StatTrak™ SSG 08 | Parallax (Factory New)^1146.97
CZ75-Auto | Xiangliu (Factory New)^1091.42
StatTrak™ USP-S | Overgrowth (Minimal Wear)^4063.17
StatTrak™ M4A4 | The Emperor (Field-Tested)^2499.41
G3SG1 | Violet Murano (Well-Worn)^1942.25
M4A4 | Modern Hunter (Field-Tested)^2368.45
MAC-10 | Ultraviolet (Factory New)^2268.24
StatTrak™ AK-47 | Asiimov (Minimal Wear)^8521.16
Galil AR | Chromatic Aberration (Factory New)^765.69
Dual Berettas | Pyre (Battle-Scarred)^1433.25
Nova | Green Apple (Factory New)^1458.29
StatTrak™ FAMAS | Mecha Industries (Minimal Wear)^807.77
StatTrak™ M4A4 | Zirka (Factory New)^6762.53
StatTrak™ AUG | Torque (Field-Tested)^1106.20
StatTrak™ P90 | Blind Spot (Field-Tested)^1110.61
M249 | Humidor (Battle-Scarred)^747.92
SCAR-20 | Cyrex (Battle-Scarred)^2656.22
StatTrak™ P250 | Wingshot (Factory New)^829.56
StatTrak™ MP9 | Starlight Protector (Factory New)^4570.54
StatTrak™ Galil AR | Sugar Rush (Well-Worn)^5533.04
USP-S | Serum (Factory New)^4003.68
AK-47 | Black Laminate (Battle-Scarred)^2228.44
StatTrak™ M4A1-S | Golden Coil (Field-Tested)^8469.99
SCAR-20 | Brass (Well-Worn)^2102.10
StatTrak™ AUG | Chameleon (Minimal Wear)^844.25
StatTrak™ Desert Eagle | Printstream (Field-Tested)^4947.15
P250 | Facets (Factory New)^991.44
StatTrak™ AK-47 | Neon Revolution (Well-Worn)^3815.08
StatTrak™ Five-SeveN | Case Hardened (Well-Worn)^1492.41
StatTrak™ USP-S | Overgrowth (Field-Tested)^3350.35
P2000 | Amber Fade (Factory New)^727.44
StatTrak™ P250 | Undertow (Factory New)^4329.52
StatTrak™ MAC-10 | Heat (Minimal Wear)^754.52
FAMAS | Spitfire (Minimal Wear)^4038.84
StatTrak™ Nova | Rising Skull (Minimal Wear)^947.69
StatTrak™ Five-SeveN | Angry Mob (Minimal Wear)^1218.34
SSG 08 | Bloodshot (Field-Tested)^774.85
AWP | Chrome Cannon (Minimal Wear)^6280.22
StatTrak™ Glock-18 | Snack Attack (Factory New)^6006.19
PP-Bizon | Carbon Fiber (Minimal Wear)^1039.49
StatTrak™ MP5-SD | Phosphor (Minimal Wear)^798.49
Nova | Hyper Beast (Field-Tested)^1217.66
P90 | Trigon (Battle-Scarred)^846.94
Operation Riptide Premium Pass^2156.82
M4A4 | The Emperor (Minimal Wear)^3036.82
P2000 | Wicked Sick (Factory New)^776.61
StatTrak™ Five-SeveN | Copper Galaxy (Factory New)^1649.02
AK-47 | Jaguar (Field-Tested)^4843.61
StatTrak™ Glock-18 | Weasel (Factory New)^769.48
StatTrak™ Glock-18 | Wasteland Rebel (Field-Tested)^1117.89
AK-47 | Bloodsport (Well-Worn)^9457.82
M4A4 | Red DDPAT (Factory New)^6675.88
USP-S | Orange Anolis (Minimal Wear)^6252.82
★ StatTrak™ Falchion Knife | Safari Mesh (Field-Tested)^8584.99
StatTrak™ M4A4 | Desolate Space (Field-Tested)^1122.85
Special Agent Ava | FBI^1669.61
M4A1-S | Decimator (Well-Worn)^1089.44
USP-S | Kill Confirmed (Battle-Scarred)^2994.23
StatTrak™ M4A4 | Buzz Kill (Minimal Wear)^3087.78
StatTrak™ USP-S | Lead Conduit (Factory New)^1533.48
StatTrak™ USP-S | Neo-Noir (Battle-Scarred)^2720.11
Glock-18 | Gamma Doppler (Well-Worn)^4628.08
CZ75-Auto | Crimson Web (Factory New)^960.59
Five-SeveN | Hyper Beast (Battle-Scarred)^1780.68
StatTrak™ CZ75-Auto | Tread Plate (Minimal Wear)^831.93
XM1014 | Banana Leaf (Well-Worn)^1011.18
StatTrak™ Desert Eagle | Mecha Industries (Well-Worn)^877.49
StatTrak™ AK-47 | Point Disarray (Battle-Scarred)^1794.45
P250 | Apep's Curse (Factory New)^6960.90
StatTrak™ P250 | Mehndi (Well-Worn)^1784.53
USP-S | Para Green (Minimal Wear)^1021.93
SCAR-20 | Splash Jam (Minimal Wear)^2778.09
StatTrak™ CZ75-Auto | Yellow Jacket (Minimal Wear)^1247.93
Glock-18 | Reactor (Factory New)^796.88
StatTrak™ Five-SeveN | Monkey Business (Minimal Wear)^2543.52
MAC-10 | Amber Fade (Factory New)^1349.89
StatTrak™ Desert Eagle | Code Red (Well-Worn)^3125.19
StatTrak™ M4A1-S | Cyrex (Field-Tested)^4355.33
XM1014 | VariCamo Blue (Well-Worn)^821.47
StatTrak™ FAMAS | Commemoration (Minimal Wear)^2302.93
MAC-10 | Indigo (Factory New)^1554.67
StatTrak™ Glock-18 | Water Elemental (Factory New)^3804.98
USP-S | The Traitor (Well-Worn)^720.18
StatTrak™ MP9 | Starlight Protector (Well-Worn)^794.75
StatTrak™ XM1014 | XOXO (Factory New)^1704.84
Tec-9 | Decimator (Well-Worn)^936.97
StatTrak™ AK-47 | Ice Coaled (Well-Worn)^1055.82
P2000 | Dispatch (Field-Tested)^1867.72
StatTrak™ M4A4 | Cyber Security (Well-Worn)^1807.03
Five-SeveN | Hyper Beast (Field-Tested)^1976.64
StatTrak™ AWP | Mortis (Field-Tested)^873.40
StatTrak™ P90 | Death Grip (Minimal Wear)^1093.91
MAG-7 | Bulldozer (Minimal Wear)^1502.01
Galil AR | Urban Rubble (Factory New)^1260.58
★ StatTrak™ Bowie Knife | Boreal Forest (Well-Worn)^7831.03
★ StatTrak™ Shadow Daggers | Bright Water (Minimal Wear)^7748.56
MP9 | Hydra (Factory New)^1520.84
SSG 08 | Big Iron (Factory New)^1575.90
StatTrak™ Glock-18 | Snack Attack (Field-Tested)^870.17
StatTrak™ Galil AR | Sugar Rush (Battle-Scarred)^5349.51
StatTrak™ Zeus x27 | Olympus (Minimal Wear)^2271.71
StatTrak™ P2000 | Wicked Sick (Factory New)^1822.87
StatTrak™ AK-47 | Leet Museo (Well-Worn)^4735.62
AK-47 | Leet Museo (Battle-Scarred)^1500.05
StatTrak™ AUG | Fleet Flock (Minimal Wear)^708.19
StatTrak™ P250 | Red Rock (Minimal Wear)^1367.34
P2000 | Fire Elemental (Well-Worn)^833.77
M4A4 | The Coalition (Minimal Wear)^5118.59
StatTrak™ Five-SeveN | Copper Galaxy (Field-Tested)^1251.49
StatTrak™ P2000 | Fire Elemental (Well-Worn)^5256.66
StatTrak™ AK-47 | Rat Rod (Battle-Scarred)^845.15
StatTrak™ SCAR-20 | Bloodsport (Factory New)^1323.48
StatTrak™ SSG 08 | Dragonfire (Factory New)^6680.61
